Record Number	001	Location
b63463349	sse0000138858	multi;eb;er;noh
b63463398	sse0000317205	multi;eb;er;noh
b63463416	sse0000139019	multi;eb;er;noh
b63463428	sse0000139095	multi;eb;er;noh
b63463441	sse0000139530	multi;eb;er;noh
b63463465	sse0000139899	multi;eb;er;noh
b63463490	sse0000139908	multi;eb;er;noh
b63463581	sse0000141044	multi;eb;er;noh
b63463684	sse0000141667	multi;eb;er;noh
b63463714	sse0000141742	multi;eb;er;noh
b63463738	sse0000141868	multi;eb;er;noh
b63463751	sse0000141937	multi;eb;er;noh
b63463763	sse0000317301	multi;eb;er;noh
b63463787	sse0000317313	multi;eb;er;noh
b63463805	sse0000142246	multi;eb;er;noh
b63463830	sse0000142766	multi;eb;er;noh
b63463842	sse0000142800	multi;eb;er;noh
b63463854	sse0000142801	multi;eb;er;noh
b63463866	sse0000142806	multi;eb;er;noh
b63463878	sse0000142807	multi;eb;er;noh
b6346388x	sse0000317321	multi;eb;er;noh
b63463891	sse0000317322	multi;eb;er;noh
b63463957	sse0000142877	multi;eb;er;noh
b63463970	sse0000143597	multi;eb;er;noh
b63463982	sse0000317348	multi;eb;er;noh
b63463994	sse0000315518	multi;eb;er;noh
b63464019	sse0000144653	multi;eb;er;noh
b63464020	sse0000144698	multi;eb;er;noh
b63464032	sse0000144829	multi;eb;er;noh
b63464044	sse0000144942	multi;eb;er;noh
b63464081	sse0000145825	multi;eb;er;noh
b63464123	sse0000145880	multi;eb;er;noh
b63464135	sse0000317412	multi;eb;er;noh
b63464147	sse0000145902	multi;eb;er;noh
b63464160	sse0000317425	multi;eb;er;noh
b63464172	sse0000317432	multi;eb;er;noh
b63464196	sse0000317450	multi;eb;er;noh
b63464202	sse0000317459	multi;eb;er;noh
b63464214	sse0000147109	multi;eb;er;noh
b63464251	sse0000317458	multi;eb;er;noh
b63464275	sse0000147142	multi;eb;er;noh
b63464299	sse0000147157	multi;eb;er;noh
b63464329	sse0000147161	multi;eb;er;noh
b63464330	sse0000295181	multi;eb;er;noh
b63464354	sse0000317460	multi;eb;er;noh
b63464391	sse0000147320	multi;eb;er;noh
b6346441x	sse0000147647	multi;eb;er;noh
b63464433	sse0000317525	multi;eb;er;noh
b63464445	sse0000317526	multi;eb;er;noh
b63464494	sse0000148734	multi;eb;er;noh
b63464573	sse0000149309	multi;eb;er;noh
b63464615	sse0000149445	multi;eb;er;noh
b63464664	sse0000149478	multi;eb;er;noh
b63464718	sse0000149494	multi;eb;er;noh
b6346472x	sse0000295548	multi;eb;er;noh
b63464767	sse0000149562	multi;eb;er;noh
b63464780	sse0000149596	multi;eb;er;noh
b63464810	sse0000149816	multi;eb;er;noh
b63464822	sse0000317548	multi;eb;er;noh
b63464858	sse0000150305	multi;eb;er;noh
b6346486x	sse0000150464	multi;eb;er;noh
b63464949	sse0000151289	multi;eb;er;noh
b63464950	sse0000317567	multi;eb;er;noh
b63465000	sse0000151849	multi;eb;er;noh
b63465024	sse0000315527	multi;eb;er;noh
b6346505x	sse0000152859	multi;eb;er;noh
b63465061	sse0000152914	multi;eb;er;noh
b63465176	sse0000155750	multi;eb;er;noh
b63465188	sse0000317666	multi;eb;er;noh
b6346519x	sse0000315529	multi;eb;er;noh
b63465231	sse0000156210	multi;eb;er;noh
b63465243	sse0000315530	multi;eb;er;noh
b63465395	sse0000157009	multi;eb;er;noh
b63465450	sse0000317795	multi;eb;er;noh
b63465486	sse0000159471	multi;eb;er;noh
