name,aalload,aalqual,aaldupe,aalpending,aaldrop,hslload,hsldupe,hsldrop,lawload,lawdupe,lawdrop,773title,506access,note
Political Philosophy: Machiavelli to Mill,,,9/1/2015,,,,,,,,,,,
"Popular Medicine in America, 1800-1900",,,,,,10/1/2015,,,,,,"Popular Medicine in America, 1800-1900 (online collection). Ebooks",Unlimited simultaneous users,
Portico (Triggered Content),10/1/2016,,,,,,,,,,,Portico (online collection). Triggered content. Ebooks,Unlimited simultaneous users,
Primary Search,,6/1/2010,,,,,,,,,,,,
ProQuest Central (purchase pre-March 2016);;;ProQuest Central,10/24/2014,,,,,,,,,,,Proquest central (online collection). Ebooks,Unlimited simultaneous users,
ProQuest Environmental Science Journals,10/24/2014,,,,,,,,,,,ProQuest environmental science journals (online collection). Ebooks,Unlimited simultaneous users,
ProQuest Research Library,2/1/2015,,,,,,,,,,,ProQuest research library ebooks (online collection),Unlimited simultaneous users,
PsychiatryOnline Premium Package,,,,,,12/1/2015,,,,,,PsychiatryOnline Premium Package (online collection). Ebooks,Unlimited simultaneous users,
Psychology Database;;;ProQuest Psychology Journals,5/1/2015,,,,,,,,,,,ProQuest psychology journals (online collection). Ebooks,Unlimited simultaneous users,
Public Health Database,3/1/2017,,,,,,,,,,,Public Health Database (online collection). Ebooks,Unlimited simultaneous users,
QScience.com,1/1/2013,,,,,,,,,,,Qscience ebooks (online collection),Unlimited simultaneous users,
Reference Global Books,,,12/1/2013,,,,,,,,,,,
Royal Society of Chemistry eBooks,,,7/1/2013,,,,,,,,,,,
RSC Ebook Collection 2013,,,7/1/2013,,,,,,,,,,,
"Sabin Americana, 1500-1926",,,6/1/2012,,,,,,,,,,,
Sage Knowledge Navigator Supplement 2014,,,4/1/2015,,,,,,,,,,,
SAGE Reference Online 2007 Encyclopedia Collection,,,7/1/2011,,,,,,,,,,,
SAGE Reference Online 2008 Encyclopedia Collection,,,7/1/2011,,,,,,,,,,,
SAGE Reference Online 2009 Encyclopedia Collection,,,7/1/2011,,,,,,,,,,,
